,name,price,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
0,Rush: A Disney / Pixar Adventure,29.44,,"Oct 31, 2017",Asobo Studio,Miscellaneous/Adventure/General/Party / Minigame,68.0,5.6,E10+,XOne,No Online Multiplayer
1,Harvest Moon DS: Grand Bazaar,51.02,,"Aug 24, 2010",Marvelous Entertainment,Strategy/General/General/Management/Business / Tycoon,68.0,7.7,E,DS,-
2,NBA 2K21,36.48,,"Sep  4, 2020",Visual Concepts,Sports/Team/Basketball/Arcade,68.0,0.8,E,PS4,Up to 10
3,Blade & Soul,50.38,1.0,"Jan 19, 2016",NCSOFT,Massively Multiplayer Online/Fantasy/Role-Playing/Massively Multiplayer,68.0,4.6,M,PC,-
4,Cold Fear,,0.11,"Mar 15, 2005",Darkworks,Action Adventure/Horror,68.0,8.0,M,PS2,1 Player
5,Sonic Colors: Ultimate,27.99,,"Sep  7, 2021","Sega, Blind Squirrel Entertainment",Action/Platformer/2D/3D,68.0,3.9,E,NS,-
6,Nanotale - Typing Chronicles,None,,"Mar 31, 2021",Fishing Cactus,Adventure/General,68.0,-,-,PC,No Online Multiplayer
7,Hyper Scape,14.4,,"Aug 11, 2020",Ubisoft Montreal,Action/Shooter/First-Person/Tactical,68.0,4.1,T,PC,Up to more than 64
8,MARVEL Powers United VR,11.75,,"Jul 26, 2018",Sanzaru Games,Action/Shooter/Light Gun,68.0,6.6,-,PC,No Online Multiplayer
9,The Spectrum Retreat,None,,"Jul 13, 2018",Dan Smith Studios,Adventure/3D/First-Person,68.0,6.1,-,PC,No Online Multiplayer
10,Dark Arcana: The Carnival,28.75,,"Mar 17, 2017",Artifex Mundi,Puzzle/Hidden Object,68.0,-,T,XOne,No Online Multiplayer
11,Crimecraft: Bleedout,47.62,,"Dec  4, 2010",Vogster,Action/Shooter/Shooter/First-Person/Modern/Arcade,68.0,5.0,M,PC,-
12,Hannspree Ten Kate Honda: SBK-07 Superbike World Championship,11.22,,"Oct 29, 2007",Milestone S.r.l,Driving/Racing/Motorcycle/Street,68.0,8.2,E10+,PS2,1-2
13,Espire 1: VR Operative,None,,"Nov 22, 2019",Digital Lode,Action/Shooter/Light Gun,68.0,7.5,M,PC,No Online Multiplayer
14,Mercenaries Saga Chronicles,None,0.01,"Feb  8, 2018","RideonJapan,Inc.",Strategy/Miscellaneous/Turn-Based/Compilation/Tactics,68.0,7.7,T,NS,No Online Multiplayer
15,One Piece: Unlimited World Red - Deluxe Edition,45.7,,"Aug 25, 2017",Ganbarion,Action/General,68.0,6.2,T,PS4,-
16,Inside My Radio,37.53,,"May 11, 2015",Seaven Studio,Action/Platformer/2D,68.0,7.4,E10+,PC,No Online Multiplayer
17,Silent Hill: Downpour,55.13,0.32,"Mar 13, 2012",Konami,Action Adventure/Horror/Horror/Survival,68.0,7.3,M,X360,No Online Multiplayer
18,Nikopol: Secrets of the Immortals,None,,"Sep 20, 2008",White Birds Productions,Adventure/3D/Fantasy/Third-Person/Fantasy,68.0,5.5,T,PC,1 Player
19,UEFA EURO 2008,6.58,0.25,"May 19, 2008",EA Canada,Sports/Traditional/Team/Soccer/Sim/Sim,68.0,7.2,E,PSP,2
20,The Technomancer,10.23,0.05,"Jun 28, 2016",Spiders,Role-Playing/General/Western-Style,68.0,7.1,M,XOne,No Online Multiplayer
21,Gungnir,94.65,0.14,"Jun 12, 2012",Sting,Strategy/Turn-Based/General/General/Tactics,68.0,8.3,T,PSP,-
22,"Prinny 2: Dawn of Operation Panties, Dood!",None,0.11,"Jan 10, 2011",Nippon Ichi Software,Action/Platformer/Platformer/2D/2D,68.0,7.5,T,PSP,2
23,Zoo Tycoon,15.0,0.48,"Nov 22, 2013",Frontier Developments,Tycoon/Strategy/Management/Tycoon/Business / Tycoon,68.0,3.2,E,XOne,Up to 4
24,Cloudberry Kingdom,None,,"Jul 31, 2013",Pwnee Studios,Action/Platformer/Platformer/2D/2D,68.0,7.0,T,X360,-
25,Wallachia: Reign of Dracula,52.06,,"Oct 29, 2020",Migami Games,Action/Platformer/2D,68.0,-,T,NS,No Online Multiplayer
26,Stela,19.02,0.13,"Mar 13, 2020",SkyBox Labs,Action/Platformer/2D,68.0,5.9,-,PC,No Online Multiplayer
27,Call of Cthulhu: The Official Video Game,29.78,,"Oct  8, 2019","Cyanide, Saber3D",Role-Playing/General,68.0,7.4,M,NS,No Online Multiplayer
28,Killing Floor: Incursion,16.49,,"May  1, 2018",Tripwire Interactive,Action/Shooter/First-Person/Light Gun/Arcade,68.0,5.1,M,PS4,2
29,Black The Fall,15.33,,"Jul 11, 2017",Sand Sailor Studio,Action/General,68.0,6.5,T,XOne,No Online Multiplayer
30,Heart&Slash,29.05,,"Jun 24, 2016",AHEARTFULOFGAMES,Action/General/Beat-'Em-Up/3D,68.0,7.4,E10+,XOne,-
31,Master Spy,77.78,,"Sep  8, 2015",TURBOGUN,Action/Platformer/2D,68.0,8.5,-,PC,No Online Multiplayer
32,Shad'O,71.0,,"Sep  4, 2012",Okugi Studio,Strategy/Real-Time/General/Defense,68.0,6.6,-,PC,-
33,Castlevania: Harmony of Despair,62.0,,"Sep 27, 2011",Konami,Action Adventure/Fantasy/General/Fantasy,68.0,7.5,T,PS3,Up to 6
34,F1 2009,12.76,0.53,"Nov 16, 2009",Sumo Digital,Driving/Racing/Simulation/Formula One/Formula One/Automobile,68.0,6.9,E,PSP,Up to 4
35,Stoked,14.48,0.21,"Feb 26, 2009",Bongfish,Sports/Alternative/Individual/Snowboarding/Snowboarding/Ski / Snowboard,68.0,8.6,T,X360,8  Online
36,Sherlock Holmes: The Silver Earring,,,"Sep 28, 2004",Frogwares,Adventure/General/General,68.0,6.5,T,PC,No Online Multiplayer
37,Earth Defense Force 2025,18.03,0.15,"Feb 18, 2014",Sandlot,Shooter/Sci-Fi/Action/Shooter/Third-Person/Sci-Fi/Arcade,68.0,8.1,M,X360,Up to 4
38,Utawarerumono: Mask of Deception,46.12,0.13,"May 23, 2017",Aqua Plus,Strategy/Adventure/Turn-Based/General,68.0,7.7,M,PS4,-
39,Joust,,,"Nov 22, 2005",Digital Eclipse,Action/Platformer/Platformer/2D/2D,68.0,7.0,E,X360,2  Online
40,Dynasty Warriors 8,12.87,0.61,"Jul 16, 2013",Omega Force,Action/Beat-'Em-Up/Beat-'Em-Up/3D,68.0,8.1,T,PS3,2
41,Overlord: Dark Legend,6.54,0.37,"Jun 23, 2009","Climax Group, Climax Studios",Action Adventure/Fantasy/General/Fantasy,68.0,7.7,T,Wii,-
42,Kinect Rush: A Disney-Pixar Adventure,None,,"Mar 20, 2012",Asobo Studio,Adventure/General/General,68.0,4.8,E,X360,-
43,Gundam Versus,23.86,0.28,"Sep 29, 2017",Bandai Namco Games,Action/Simulation/Fighting/Vehicle/3D/Combat,68.0,6.4,T,PS4,Up to 6
44,Fossil Fighters: Champions,None,0.67,"Nov 14, 2011","RED Entertainment, Artdink",Role-Playing/General/General,68.0,7.9,E,DS,2
45,Seven: The Days Long Gone,37.0,,"Dec  1, 2017",IMGN.PRO,Role-Playing/Action Adventure/General/Action RPG/Open-World,68.0,7.4,-,PC,No Online Multiplayer
46,Heroki,None,,"Jul 20, 2018",Picomy,Action/General,68.0,7.1,E,NS,No Online Multiplayer
47,Shiness: The Lightning Kingdom,20.9,,"Apr 18, 2017",Enigami,Role-Playing/Action RPG,68.0,7.2,-,PC,No Online Multiplayer
48,White Night,None,,"Mar  3, 2015",OSome Studio,Action Adventure/Survival,68.0,6.5,M,PC,No Online Multiplayer
49,Rogue Stormers,9.43,,"Jul 17, 2014",Black Forest Games,Action/General/Platformer/2D,68.0,7.8,T,PC,Up to 4
50,Buccaneer: The Pursuit of Infamy,80.0,,"Dec  5, 2008",Stickmen Studios,Strategy/General/General,68.0,6.7,E,PC,-
51,World Tour Soccer 2005,,,"Apr 14, 2004",SCEE London Studio,Sports/Traditional/Soccer/Sim,68.0,7.9,E,PS2,1-8
52,NASCAR Thunder 2003,,,"Oct 16, 2002",EA Tiburon,Driving/Racing/Simulation/Stock Car/Stock Car/Automobile,68.0,5.2,E,PC,1-16
53,Dracula: The Last Sanctuary,,,"Feb 11, 2001",Canal+ Multimedia,Adventure/First-Person/Point-and-Click/Modern/Fantasy/Modern,68.0,7.0,M,PC,No Online Multiplayer
54,Crash Bash,,,"Nov  6, 2000",Eurocom Entertainment Software,Miscellaneous/Party,68.0,8.1,E,PlayStation,1-4
55,Orcs & Elves,None,0.05,"Nov 13, 2007","id Software, Fountainhead Entertainment",Role-Playing/First-Person/First-Person/Western-Style,68.0,7.6,T,DS,No Online Multiplayer
56,Spider-Man: Web of Shadows,28.02,0.4,"Oct 21, 2008","Treyarch, Shaba Games",Action/General/General/Beat-'Em-Up/2D,68.0,8.6,T,X360,No Online Multiplayer
57,NIER,19.38,0.63,"Apr 27, 2010",Cavia Inc.,Role-Playing/Action RPG/Action RPG,68.0,8.7,M,PS3,No Online Multiplayer
58,This Is the President,None,,"Dec  6, 2021",SuperPAC,Strategy/General,68.0,-,-,PC,No Online Multiplayer
59,Project Nimbus: Complete Edition,15.68,,"May 16, 2019",GameCrafterTeam,Action/Shooter/Third-Person/Arcade,68.0,-,T,NS,No Online Multiplayer
60,The Hong Kong Massacre,67.41,,"Jan 22, 2019",VRESKI,Action/Shooter/Shoot-'Em-Up/Top-Down,68.0,5.3,-,PC,No Online Multiplayer
61,Remothered: Tormented Fathers,32.14,,"Jul 25, 2018",Stormind Games,Action Adventure/Survival,68.0,7.9,M,XOne,No Online Multiplayer
62,de Blob 2,10.49,,"Feb 27, 2018",Blue Tongue Entertainment,Action/Platformer/3D,68.0,5.7,E10+,PS4,No Online Multiplayer
63,Nom Nom Galaxy,None,,"Aug  3, 2014",Q-Games,Action/General,68.0,6.1,-,PC,-
64,Sinking Island,9.94,0.0,"Aug 21, 2008",White Birds Productions,Adventure/3D/Modern/Third-Person/Modern,68.0,6.8,T,PC,-
65,Blitz: The League II,31.72,0.1,"Oct 13, 2008",Midway,Sports/Traditional/Team/Football/Arcade/Arcade,68.0,7.4,M,X360,2  Online
66,Star Wars Battlefront II,55.2,4.53,"Nov 14, 2017",EA DICE,Action/Shooter/First-Person/Tactical,68.0,1.6,T,PS4,Up to 40
67,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",,0.43,"Nov 14, 2005",Traveller's Tales,Action Adventure/Fantasy,68.0,8.2,T,PS2,1-2
68,Kill la Kill: IF,41.27,,"Jul 26, 2019","Studio TRIGGER, Aplus",Action Adventure/General/Action/Fighting/3D,68.0,6.5,M,PS4,2
69,Strange Brigade,13.0,,"Aug 28, 2018",Rebellion,Action/Shooter/Third-Person/Arcade,68.0,6.6,T,PC,Up to 4
70,Koihime Enbu,53.18,,"May 19, 2016","M2, UNKNOWN GAMES",Action/Fighting/2D,68.0,6.7,-,PC,Online Multiplayer
71,The LEGO Movie Videogame,17.55,0.34,"Feb  7, 2014",TT Games,Action Adventure/Fantasy/General/Fantasy,68.0,6.9,E10+,PC,No Online Multiplayer
72,MotoGP 17,8.5,0.14,"Jul 11, 2017","Koch Media, Milestone S.r.l",Racing/Arcade/Automobile,68.0,4.4,E,PS4,Up to 12
73,Battleborn,3.7,0.48,"May  3, 2016",Gearbox Software,Sci-Fi/Action/Shooter/First-Person/Tactical/Arcade,68.0,6.8,T,PS4,Up to 10
74,60 Parsecs!,None,,"Sep 18, 2018",Robot Gentleman,Adventure/General,68.0,6.8,-,PC,No Online Multiplayer
75,Marvel's Guardians of the Galaxy - Episode 5: Don't Stop Believin',11.75,,"Nov  7, 2017",Telltale Games,Action/General/Adventure/3D/Third-Person,68.0,7.4,-,PC,No Online Multiplayer
76,Masochisia,16.51,,"Oct  9, 2015",Oldblood,Adventure/Point-and-Click,68.0,7.2,-,PC,No Online Multiplayer
77,MySims Racing,13.76,0.47,"Jun 12, 2009",EA Games,Driving/Racing/Arcade/Kart/Other/Kart/Automobile,68.0,6.1,E,Wii,4  Online
78,Brink,4.54,1.04,"May 10, 2011",Splash Damage,Action/Shooter/Shooter/First-Person/Sci-Fi/Sci-Fi/Arcade,68.0,5.8,T,X360,Up to 16
79,Exit the Gungeon,None,,"Mar 17, 2020",Dodge Roll,Action/Platformer/2D,68.0,7.0,E10+,NS,No Online Multiplayer
80,Vanguard: Saga of Heroes,None,0.0,"Jan 30, 2007",Sigil Games Online,Role-Playing/Massively Multiplayer Online/Massively Multiplayer/Fantasy/Fantasy,68.0,7.1,T,PC,Massively Multiplayer
81,Outcast: Second Contact,16.62,,"Nov 14, 2017","Appeal, Bigben Interactive, Bigben Games",Action Adventure/Adventure/General/Open-World,68.0,6.2,T,PC,No Online Multiplayer
82,Valley,9.52,0.03,"Aug 23, 2016",Blue Isle Studios,Action Adventure/Open-World,68.0,8.0,T,XOne,-
83,Rock of Ages,11.33,,"May 15, 2012",ACE Team,Action/General/General,68.0,7.3,E10+,PS3,2
84,Dr. Sudoku,15.0,,"May  3, 2006",Success,Miscellaneous/Puzzle/Logic,68.0,-,E,Game Boy Advance,1 Player
85,MX vs. ATV Unleashed: On the Edge,None,0.69,"Feb 27, 2006",Rainbow Studios,Driving/Racing/Simulation/Rally / Offroad/Rally / Offroad/Automobile,68.0,8.1,E,PSP,No Online Multiplayer
86,Rise of the Kasai,,0.19,"Apr  5, 2005",BottleRocket Entertainment,Action/Beat-'Em-Up,68.0,6.7,M,PS2,1 Player
87,NFL Street 3,12.63,0.27,"Nov 14, 2006",EA Tiburon,Sports/Traditional/Team/Football/Arcade/Arcade,68.0,8.3,E,PSP,1-2
88,Disney Magical World 2: Enchanted Edition,None,,"Dec  3, 2021",h.a.n.d. Inc.,Simulation/Virtual/Virtual Life,68.0,-,E,NS,-
89,Madden NFL 2005,,,"Nov 17, 2004",Exient Entertainment,Sports/Traditional/Team/Football/Sim/Sim,68.0,7.7,E,DS,2  Online
90,Tom Clancy's Rainbow Six 3,,,"Jun 17, 2004",Ubisoft Shanghai,Action/Shooter/First-Person/Tactical/Modern,68.0,6.8,M,GameCube,1-2
91,Frantics,None,,"Mar  6, 2018","Sony Interactive Entertainment, NapNok Games",Miscellaneous/Party / Minigame,68.0,5.1,E,PS4,No Online Multiplayer
92,Deracine,None,0.1,"Nov  6, 2018",From Software,Adventure/General,68.0,7.8,T,PS4,No Online Multiplayer
93,Destroy All Humans!,31.09,,"Jul 28, 2020",Black Forest Games,Action Adventure/General,68.0,7.7,T,XOne,No Online Multiplayer
94,Hell Let Loose,None,,"Oct  5, 2021",Black Matter,Action/Shooter/First-Person/Tactical/Arcade,68.0,7.1,M,PS5,Up to more than 64
95,Broforce,None,,"Mar  1, 2016",Free Lives,Action/Platformer/2D,68.0,6.7,M,PS4,Up to 4
96,Runers,85.0,,"Sep  2, 2014",LGK Games,Action/General,68.0,6.9,-,PC,No Online Multiplayer
97,Picross e2,None,,"Jul 25, 2013",Jupiter Corporation,Miscellaneous/Puzzle/Puzzle/Logic/Logic,68.0,7.1,E,3DS,-
98,XG Blast!,36.0,0.0,"Jun 14, 2010",Next Wave Team,Action/Shooter/Shooter/Static/Static/Shoot-'Em-Up/Top-Down,68.0,-,E,DS,-
99,Mega Man Battle Network 5: Double Team,,0.11,"Nov  1, 2005",Capcom,Role-Playing/Miscellaneous/Action RPG/Compilation,68.0,8.6,E,DS,No Online Multiplayer
100,Mega Man Battle Network 4 Red Sun,,,"Jun 29, 2004",Capcom,Role-Playing/Action RPG,68.0,8.6,E,Game Boy Advance,1-2
101,Medal of Honor: Rising Sun,,,"Nov 11, 2003",EA LA,Action/Shooter/First-Person/Historic,68.0,6.6,T,GameCube,1-4
102,Tak and the Power of Juju,,,"Oct 15, 2003",Avalanche Software,Action/Platformer/3D,68.0,8.6,E,PS2,1-2
103,Lost Kingdoms II,,,"May 21, 2003",From Software,Role-Playing/General,68.0,8.3,T,GameCube,1-2
104,Jazz Jackrabbit,,,"Jan  3, 2003",Game Titan,Action/Platformer/2D,68.0,3.5,E,Game Boy Advance,1-5
105,Ducati World Racing Challenge,,,"Jan  2, 2001",Attention To Detail,Driving/Racing/Motorcycle/Street,68.0,-,E,PlayStation,-
106,Lost Planet 2,12.96,0.76,"May 11, 2010",Capcom,Action/Shooter/Shooter/Third-Person/Sci-Fi/Sci-Fi/Arcade,68.0,6.2,T,X360,Up to 16
107,Tales of Symphonia: Dawn of the New World,38.14,0.22,"Nov 11, 2008",Bandai Namco Games,Role-Playing/Console-style RPG/Console-style RPG/Japanese-Style,68.0,7.5,T,Wii,No Online Multiplayer
108,Drawn to Life: SpongeBob SquarePants Edition,13.25,1.48,"Sep 15, 2008",Altron,Action Adventure/Adventure/General/General/Sandbox,68.0,7.0,E,DS,1 Player
109,The Guest,32.97,0.8,"Mar 10, 2016",Team Gotham,First-Person/Adventure/General/3D,68.0,6.9,M,PC,No Online Multiplayer
110,Everyday Shooter,None,,"Dec  4, 2008",Backbone Entertainment,Action/Shooter/Shooter/Static/Static/Shoot-'Em-Up/Top-Down,68.0,-,E,PSP,-
111,Skylar & Plux: Adventure on Clover Island,None,,"May 19, 2017",Right Nice Games,Action/Platformer/3D,68.0,6.7,E,PC,-
112,In Between,64.13,,"Jun  8, 2016",Gentlymad,Action/Platformer/2D,68.0,7.0,T,XOne,-
113,Alien Breed (PS Mobile),None,,"Nov 14, 2012",Team17,Action/General/General/Shooter/Shoot-'Em-Up/Top-Down,68.0,5.8,E10+,PSV,-
114,My Hero One's Justice 2,73.0,,"Mar 13, 2020",Bandai Namco Games,Action/Fighting/3D,68.0,4.5,T,PS4,Up to 4
115,Blinx 2: Masters of Time & Space,,,"Nov 18, 2004",Artoon,Action/Platformer/3D,68.0,8.6,E,Xbox,1-4
116,Ghostbusters: The Video Game Remastered,34.75,,"Oct  4, 2019",Saber Interactive,Action/General,68.0,6.4,T,XOne,No Online Multiplayer
117,Hexyz Force,None,0.14,"May 24, 2010",Sting,Role-Playing/Console-style RPG/Console-style RPG/Japanese-Style,68.0,7.4,T,PSP,-
118,Harry Potter and the Goblet of Fire,,0.23,"Nov  8, 2005",Magic Pockets,Action Adventure/Fantasy/General/Fantasy,68.0,5.0,E,DS,1-3
119,Yooka-Laylee,90.35,0.29,"Apr 11, 2017",Playtonic Games,Action/Platformer/3D,68.0,6.2,E10+,PS4,No Online Multiplayer
120,Suikoden Tactics,,0.2,"Nov  8, 2005",Konami,Strategy/Turn-Based/Fantasy,68.0,8.3,T,PS2,1 Player
121,NBA Playgrounds,16.58,0.08,"May  9, 2017",Saber Interactive,Sports/Team/Basketball/Arcade,68.0,6.5,E,PS4,2
122,Strike Suit Zero: Director's Cut,26.45,,"Apr  8, 2014",Born Ready Games,Action/Simulation/Flight/Combat,68.0,6.5,E10+,PS4,-
123,Space Giraffe,None,,"Aug 22, 2007",Llamasoft,Action/Shooter/Shooter/Static/Static/Shoot-'Em-Up/Top-Down,68.0,7.5,E,X360,1 Player
124,Disney G-Force,None,,"Jul 21, 2009","Eurocom Entertainment Software, Eurocom",Action/General/Platformer/3D,68.0,7.4,E10+,X360,1 Player
125,Harry Potter and the Order of the Phoenix,29.96,0.3,"Jun 25, 2007",EA Games,Action Adventure/Fantasy/General/Fantasy,68.0,4.8,E10+,X360,No Online Multiplayer
126,Way of the Passive Fist,None,,"Mar  7, 2018",Household Games Inc.,Action/Beat-'Em-Up/2D,68.0,7.7,T,XOne,No Online Multiplayer
127,Infinite Crisis,43.23,,"Mar 26, 2015",Turbine Inc.,MOBA/Strategy/Real-Time/MOBA,68.0,6.6,T,PC,-
128,Lost Planet 2,12.96,0.95,"May 11, 2010",Capcom,Action/Shooter/Shooter/Third-Person/Sci-Fi/Sci-Fi/Arcade,68.0,6.9,T,PS3,Up to 16
129,Pure Pinball,,,"Aug  5, 2004",Iridon Interactive AB,Miscellaneous/Parlor/Pinball,68.0,7.8,E,Xbox,1 Player
130,QuickSpot,None,0.14,"Mar 19, 2007",Namco,Miscellaneous/Puzzle/Puzzle/Hidden Object/General/Puzzle/General,68.0,-,E10+,DS,4  Online
131,Deadly Premonition,47.62,0.26,"Feb 17, 2010",Access Games,Action Adventure/Horror/Horror/Open-World,68.0,8.3,M,X360,No Online Multiplayer
132,AiRace Speed,None,,"Sep 19, 2013",QubicGames,Driving/Racing/Arcade/Futuristic/Futuristic,68.0,7.6,E,3DS,-
133,World Racing 2,6.99,0.0,"Aug 14, 2006",Synetic,Driving/Racing/Simulation/GT / Street/GT / Street/Automobile,68.0,7.4,E,PC,6  Online
134,Rag Doll Kung Fu: Fists of Plastic,None,,"Apr  9, 2009",Tarsier Studios,Action/Miscellaneous/Fighting/Fighting/Party / Minigame/2D/2D,68.0,7.2,E10+,PS3,4  Online
135,Demon Turf,None,,"Nov  4, 2021",Fabraz,Action/Platformer/3D,68.0,-,-,PC,No Online Multiplayer
136,Mini Motor Racing X,None,,"Sep 17, 2020",The Binary Mill,Racing/Arcade/Automobile,68.0,-,-,NS,Up to 4
137,Kill It With Fire,None,,"Aug 13, 2020",Casey Donnellan Games LLC,Simulation/General,68.0,6.3,-,PC,No Online Multiplayer
138,WARTILE,None,,"Feb  8, 2018",Playwood Project,Strategy/Turn-Based/Tactics,68.0,6.3,-,PC,No Online Multiplayer
139,The Wizards: Enhanced Edition,39.28,,"Mar 12, 2019",Carbon Studio,Action/Shooter/Light Gun,68.0,6.0,E10+,PS4,No Online Multiplayer
140,MotoGP 10/11,12.87,0.17,"Mar 15, 2011",Monumental Games,Driving/Racing/Simulation/Motorcycle/Automobile/Street/Street,68.0,6.9,E,PS3,-
141,The Ball,None,0.19,"Oct 26, 2010",Teotl Studios,Action Adventure/Fantasy/General/Fantasy,68.0,6.3,M,PC,-
142,The UnderGarden,22.33,,"Nov 10, 2010",Vitamin G Studios,Miscellaneous/Puzzle/Puzzle/General/Puzzle/General,68.0,-,E,X360,-
143,Evil Dead: Regeneration,,0.21,"Sep 13, 2005",Cranky Pants Games,Action Adventure/Horror,68.0,8.7,M,PS2,1 Player
144,The Punisher,,0.52,"Jan 17, 2005",Volition Inc.,Action/Shooter/Third-Person/Modern,68.0,8.3,M,PS2,1 Player
145,Star Wars The Clone Wars: Jedi Alliance,14.36,0.78,"Nov 11, 2008",LucasArts,Action Adventure/Sci-Fi/Sci-Fi/General,68.0,7.7,E10+,DS,1 Player
146,Curious Expedition,34.13,,"Apr  2, 2020",Maschinen-Mensch,Adventure/General,68.0,7.2,T,NS,No Online Multiplayer
147,Resident Evil 6,18.17,,"Oct 29, 2019",Capcom,Action Adventure/Survival,68.0,7.8,M,NS,Up to 6
148,Sword of the Stars,None,0.19,"Aug 17, 2006",Kerberos Productions,Strategy/Turn-Based/General/Sci-Fi/Sci-Fi,68.0,7.3,E10+,PC,8  Online
149,Goblin Commander: Unleash the Horde,,,"Nov 11, 2003",Jaleco Entertainment,Strategy/Real-Time/Fantasy,68.0,8.5,T,PS2,1-2
150,Harry Potter: Quidditch World Cup,,,"Oct 28, 2003",Magic Pockets,Sports/Alternative/Other,68.0,6.7,E,PS2,1-2
151,ATV Quad Power Racing 2,,,"Jan 13, 2003",Acclaim,Driving/Racing/Rally / Offroad,68.0,7.2,E,PS2,1-2
152,Ultimate Fighting Championship: Throwdown,,,"Jun  3, 2002",Opus,Action/Fighting/3D,68.0,8.0,T,PS2,1-2
153,"Freakyforms: Your Creations, Alive!",30.41,,"Nov 10, 2011","Asobism, Co. ltd., Asobism.Co.,Ltd, Asobism",Miscellaneous/General/General,68.0,7.7,E,3DS,1 Player
154,Gauntlet (2014),100.0,,"Sep 23, 2014",Warner Bros. Interactive Entertainment,Role-Playing/PC-style RPG/Western-Style,68.0,7.1,M,PC,-
155,Typoman: Revised,None,,"Feb 22, 2018",Brainseed Factory,Action/Platformer/2D,68.0,6.6,E10+,NS,No Online Multiplayer
156,Men of War: Assault Squad 2,61.0,,"Mar 20, 2014","1C, 1C Entertainment",Strategy/Real-Time/Military/General/Military,68.0,6.3,-,PC,-
157,Switchball,31.12,,"Sep 18, 2009",Atomic Elbow,Miscellaneous/Puzzle/Action/Puzzle/General/Puzzle/General,68.0,5.0,E,PS3,8  Online
158,Tom Clancy's HAWX 2,10.0,0.36,"Sep  7, 2010",Ubisoft,Action/Simulation/Flight/Flight/Combat,68.0,6.4,T,X360,Up to 8
159,Viking: Battle for Asgard,22.04,0.44,"Mar 25, 2008",Creative Assembly,Action/Action Adventure/General/Fantasy/General/Fantasy,68.0,8.1,M,X360,No Online Multiplayer
160,Kingdom Come: Deliverance,25.85,0.22,"Feb 13, 2018",Warhorse Studios,Historic/Role-Playing/Action Adventure/General/Action RPG,68.0,7.5,M,XOne,No Online Multiplayer
161,Space Hulk: Tactics,12.38,,"Oct  9, 2018","Cyanide, Cyanide Studios",Strategy/Turn-Based/Tactics,68.0,6.5,M,PS4,2
162,"Warhammer 40,000: Armageddon",None,,"Nov 26, 2014","The Lordz Games Studio, Flashback Games",Strategy/Real-Time/Sci-Fi/General,68.0,6.7,-,PC,-
163,Galcon Fusion,None,,"Feb 11, 2010",Phil Hassey,Strategy/General/General,68.0,6.4,-,PC,-
164,FIFA 18,18.51,1.1,"Sep 29, 2017",EA Vancouver,Sports/Team/Soccer/Sim,68.0,5.8,E,NS,Up to 22
165,Pokemon Ranger: Shadows of Almia,28.72,2.35,"Nov 10, 2008","HAL Labs, Creatures Inc.",Role-Playing/General/General,68.0,8.1,E,DS,1 Player
166,Dear Esther: Landmark Edition,None,,"Sep 20, 2016",The Chinese Room,Adventure/3D/First-Person,68.0,5.1,T,XOne,No Online Multiplayer
167,Batman: The Telltale Series,36.0,,"Sep 13, 2016",Telltale Games,Action/General/Adventure/Point-and-Click,68.0,6.9,M,PS4,-
168,Star Wars Pinball,17.61,,"Sep 19, 2013",Zen Studios,Action/Miscellaneous/Parlor/Pinball/Pinball,68.0,5.4,E10+,3DS,-
169,Project CARS 3,24.0,,"Aug 28, 2020",Slightly Mad Studios,Racing/Simulation/Automobile,68.0,3.3,E,PC,Online Multiplayer
170,Fallout 3: Mothership Zeta,None,,"Aug  3, 2009",Bethesda Softworks,Role-Playing/First-Person/First-Person/Western-Style,68.0,5.7,M,PC,-
171,GORN,24.0,,"May 19, 2020",Free Lives,Action/General,68.0,5.0,M,PS4,No Online Multiplayer
172,NASCAR 07,11.59,0.11,"Sep  6, 2006",EA Tiburon,Driving/Racing/Stock Car,68.0,8.2,E,PS2,4  Online
173,Wii Sports Club,63.24,0.38,"Nov  7, 2013",Nintendo,Sports/General/General/Individual/Athletics,68.0,7.0,E10+,WiiU,Up to 4
174,Lost in Shadow,54.04,0.12,"Jan  4, 2011",Hudson Soft,Action/Platformer/Platformer/3D/2D/3D,68.0,8.7,E10+,Wii,-
175,Bone: Out From Boneville,,,"Sep 15, 2005",Telltale Games,Adventure/3D/Fantasy/Third-Person,68.0,6.5,-,PC,No Online Multiplayer
176,King of Seas,None,,"May 25, 2021",3DClouds,Role-Playing/Adventure/General/Action RPG,68.0,7.5,-,PC,No Online Multiplayer
177,Hatoful Boyfriend,None,0.28,"Feb 15, 2012",Hato Moa,General/Adventure/General/Visual Novel,68.0,7.1,-,PC,No Online Multiplayer
178,Binary Domain,13.91,,"Apr 27, 2012",Devils Details,Action/Action Adventure/Sci-Fi/Sci-Fi/General/Shooter/Third-Person/Tactical/Arcade,68.0,7.7,M,PC,-
179,Test Drive Unlimited 2,12.83,0.68,"Feb  8, 2011","Eden Studios, Eden",Driving/Racing/Simulation/General/General/Automobile,68.0,6.5,T,X360,Up to 8
180,Pathway,None,,"Apr 11, 2019",Robotality,Strategy/Turn-Based/Tactics,68.0,6.4,-,PC,No Online Multiplayer
181,Juiced,,,"Jun 13, 2005",Juice Games,Driving/Racing/GT / Street,68.0,8.1,T,Xbox,6  Online
