,name,price,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
1399,Dillon's Rolling Western,7.51,,"Feb 22, 2012",Vanpool,Action/General/General,65.0,7.5,E10+,3DS,No Online Multiplayer
1400,The Grim Adventures of Billy & Mandy,16.88,,"Sep 25, 2006",High Voltage Software,Action/Beat-'Em-Up,65.0,8.3,E10+,PS2,1-4
1401,Dynasty Warriors: Strikeforce,14.08,0.45,"Apr 28, 2009",Omega Force,Action/Beat-'Em-Up/Beat-'Em-Up/3D,65.0,6.7,T,PSP,Up to 4
1402,Elements of Destruction,11.74,,"Jun 18, 2008",Frozen Codebase,Action/Strategy/General/General/General,65.0,-,T,X360,4  Online
1403,Virtua Tennis 4,12.41,0.14,"May 10, 2011",Sega,Sports/Traditional/Individual/Tennis/Tennis,65.0,7.5,E,Wii,4  Online
1404,Ms. Pac-Man,59.99,,"Jan 10, 2007",Namco Bandai Games,Action/General/General/Arcade,65.0,7.2,E,X360,1 Player
1405,Vostok Inc.,24.42,,"Dec  7, 2017",Nosebleed Interactive,Action/Shooter/Shoot-'Em-Up/Top-Down,65.0,7.1,E10+,NS,No Online Multiplayer
1406,Surf World Series,None,,"Aug 29, 2017",Climax Studios,Sports/Individual/Surf / Wakeboard,65.0,-,E,PS4,Up to 16
1407,Capcom Digital Collection,40.58,0.02,"Mar 27, 2012",Capcom,Miscellaneous/Compilation/Compilation,65.0,5.3,T,X360,Up to 4
1408,The Sims 2: Pets,16.0,0.47,"Jun 12, 2007",Maxis,Simulation/Miscellaneous/Virtual Life/Virtual/Virtual Life,65.0,7.0,T,Wii,1 Player
1409,007: Quantum of Solace,15.97,1.48,"Nov  4, 2008",Treyarch,Action/General/Shooter/Shooter/First-Person/Modern/Modern/Arcade,65.0,7.0,T,X360,Up to 12
1410,Resident Evil Code: Veronica X HD,84.32,,"Sep 27, 2011",Capcom,Action Adventure/Horror/Horror/Survival,65.0,8.1,M,PS3,No Online Multiplayer
1411,Farming Simulator 17,20.74,0.33,"Oct 25, 2016",Giants Software,Simulation/Virtual/Career,65.0,7.0,E,XOne,Up to 6
1412,Tharsis,None,,"Jan 12, 2016",Choice Provisions,Miscellaneous/Board / Card Game,65.0,6.3,M,PS4,-
1413,Choplifter HD,59.99,,"Jan 11, 2012",InXile Entertainment,Action/General/Shooter/Shooter/Scrolling/Scrolling/Shoot-'Em-Up/Vertical,65.0,6.5,T,PC,-
1414,CSI: Crime Scene Investigation: Dark Motives,,,"Mar 23, 2004",369 Interactive,Adventure/First-Person/Point-and-Click/Modern/Modern,65.0,8.5,M,PC,1 Player
1415,Triple Play 2002,,,"Mar 11, 2002",Pandemic Studios,Sports/Traditional/Baseball/Sim,65.0,-,E,PS2,1-2
1416,X-COM: Enforcer,,,"Apr 18, 2001",MicroProse,Action/Shooter/Shooter/Third-Person/Sci-Fi/Sci-Fi/Arcade,65.0,6.9,T,PC,-
1417,Tiger Woods PGA Tour Golf,,,"Nov 13, 2000",EA Sports,Sports/Traditional/Golf/Sim,65.0,-,E,PlayStation,-
1418,Marvel: Ultimate Alliance 2,45.72,0.2,"Sep 15, 2009",n-Space,Role-Playing/Action RPG/Action RPG,65.0,6.4,E10+,DS,4  Online
1419,Space Invaders Forever,31.23,,"Dec 11, 2020",Taito Corporation,Action/Miscellaneous/Shooter/Compilation/Shoot-'Em-Up/Vertical,65.0,-,E,NS,No Online Multiplayer
1420,InnerSpace,None,,"Jan 16, 2018",PolyKnight Games,Simulation/Flight/Civilian,65.0,5.6,-,PC,No Online Multiplayer
1421,Nickelodeon All-Star Brawl,39.87,,"Oct  5, 2021","Ludosity Interactive, Fair Play Labs",Miscellaneous/Party / Minigame/Action/Fighting/2D,65.0,5.9,E10+,PS5,Up to 4
1422,Super Dodgeball Brawlers,None,0.14,"May 27, 2008",Million,Sports/Alternative/Team/Other/Other,65.0,-,E,DS,8  Online
1423,Twin Mirror,None,,"Dec  1, 2020",DONTNOD Entertainment,Action Adventure/General,65.0,5.8,-,PC,No Online Multiplayer
1424,Mass Effect 2: Arrival,13.0,,"Mar 29, 2011",BioWare,Role-Playing/Action RPG/Action RPG,65.0,6.0,M,X360,-
1425,Windbound,None,,"Aug 28, 2020",5 Lives Studios,Action Adventure/Survival,65.0,6.2,-,XOne,No Online Multiplayer
1426,FOX n FORESTS,84.0,,"May 17, 2018",Bonus Level Entertainment,Action/Platformer/2D,65.0,7.0,E10+,PS4,No Online Multiplayer
1427,Dino Frontier,None,,"Aug  1, 2017",Uber Entertainment,Strategy/Management/Business / Tycoon,65.0,6.6,T,PS4,-
1428,Disney/Pixar Ratatouille,66.37,,"Jun 26, 2007",Asobo Studio,Action/Platformer/3D,65.0,7.9,E,PS2,1-4
1429,Spore Creatures,12.41,1.07,"Sep  7, 2008",Griptonite Games,Strategy/Breeding/Constructing/General/Breeding/Constructing,65.0,6.8,E,DS,No Online Multiplayer
1430,Maize,18.93,,"Dec  1, 2016",Finish Line Games,Adventure/General,65.0,7.7,-,PC,No Online Multiplayer
1431,Texas Cheat 'Em,7.78,,"May 13, 2009",Wideload Games Inc.,Miscellaneous/Parlor/Gambling/Gambling,65.0,-,T,X360,8  Online
1432,Mister Mosquito,,,"Mar 12, 2002",Zoom,Action/Shooter/Third-Person/Fantasy,65.0,5.6,T,PS2,1 Player
1433,The Gunk,None,,"Dec 16, 2021",Image & Form,Action/Platformer/3D,65.0,5.1,-,PC,-
1434,Marvel's Guardians of the Galaxy - Episode 3: More Than A Feeling,11.75,,"Aug 22, 2017",Telltale Games,Action/Adventure/General/3D/Third-Person,65.0,6.3,T,PS4,-
1435,Dynasty Warriors: Gundam 3,21.97,0.18,"Jun 28, 2011","Omega Force, Koei Tecmo Games",Action/Beat-'Em-Up/Beat-'Em-Up/2D/3D,65.0,8.0,T,X360,Up to 4
1436,Zombi,26.45,1.65,"Aug 18, 2015",Ubisoft Montpellier,Action/Action Adventure/Shooter/Survival/First-Person/Arcade,65.0,5.0,M,PC,No Online Multiplayer
1437,Sunset Overdrive and the Mystery of the Mooil Rig!,9.5,,"Dec 23, 2014",Insomniac Games,Action/General/Shooter/Third-Person/Arcade,65.0,7.2,M,XOne,-
1438,Two Worlds,23.63,0.7,"Aug 23, 2007",Reality Pump,Role-Playing/Third-Person/Third-Person/General,65.0,6.8,M,PC,Massively Multiplayer
1439,DreamWorks Over the Hedge,None,,"May  9, 2006",Beenox,Action/Platformer/Platformer/3D/3D,65.0,8.0,E10+,PC,1-2
1440,Mario & Sonic at the Rio 2016 Olympic Games,19.0,8.46,"Jun 24, 2016","Nintendo, Sega Sports R&D",Sports/Individual/Athletics,65.0,7.8,E10+,WiiU,-
1441,Disney/Pixar Cars,8.37,,"Oct 23, 2006",Rainbow Studios,Driving/Racing/Mission-based/Arcade/Mission-based/Automobile,65.0,7.2,E,X360,No Online Multiplayer
1442,TOHU,None,,"Jan 28, 2021",Fireart Games,Adventure/Point-and-Click,65.0,-,-,NS,No Online Multiplayer
1443,Turok,95.0,0.01,"Apr 22, 2008",Propaganda Games,Action/Shooter/Shooter/First-Person/Sci-Fi/Sci-Fi/Arcade,65.0,6.2,M,PC,16  Online
1444,Puzzle Guzzle,None,0.02,"Feb 27, 2008","Irem, Agetec",Miscellaneous/Puzzle/Puzzle/General/Puzzle/General,65.0,-,E,PSP,Up to 8
1445,Anthem,4.82,,"Feb 22, 2019",BioWare,Role-Playing/Action RPG,65.0,4.0,T,XOne,Up to 4
1446,Transient,70.0,,"Oct 28, 2020",Stormling Studios,Adventure/General/3D/First-Person,65.0,5.4,-,PC,No Online Multiplayer
1447,Dangerous Driving,28.25,,"Apr  9, 2019",Three Fields Entertainment,Racing/Arcade/Automobile,65.0,5.0,E10+,XOne,No Online Multiplayer
1448,2Dark,43.84,,"Mar 10, 2017",Gloomywood,Action Adventure/General,65.0,6.9,M,XOne,No Online Multiplayer
1449,Feist,13.96,,"Jul 23, 2015",Bits & Beasts,Action/Platformer/2D,65.0,7.3,-,PC,No Online Multiplayer
1450,Rocky: Legends,,,"Sep 28, 2004",Venom Games,Sports/Traditional/Boxing,65.0,8.5,T,PS2,1-2
1451,Digimon Rumble Arena 2,,,"Sep  3, 2004",Black Ship Games,Action/Fighting/2D,65.0,7.4,T,Xbox,1-4
